City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
586,Hambantota,LK,78.21,overcast clouds,6.1241,81.1185,Bungalow 63
588,Axim,GH,78.28,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
594,Anloga,GH,79.41,light rain,5.7947,0.8973,Pin Drop Hotel
600,Gupitan,PH,75.25,overcast clouds,7.7758,125.6406,Tagtugonan Water Falls
601,Matara,LK,76.46,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
610,Truth Or Consequences,US,79.92,clear sky,33.1284,-107.2528,Charles Hot Springs
618,Galle,LK,77.72,overcast clouds,6.0367,80.217,Amangalla
635,Upata,VE,79.25,broken clouds,8.0086,-62.3989,Posada Villa Nela
648,Kaniama,CD,75.61,broken clouds,-7.5667,24.1833,
652,Banda Aceh,ID,77.38,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
653,Iseyin,NG,75.13,overcast clouds,7.9667,3.6,Momak Hotels And Suites
654,Casablanca,MA,75.42,broken clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
659,Mersing,MY,77.09,broken clouds,2.4312,103.8405,Timotel Hotel
665,Vila Do Maio,CV,77.79,broken clouds,15.1333,-23.2167,Hotel Marilu
