City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Tasiilaq,GL,65.6145,-37.6368,21.06,70,1,5.53,clear sky
79,Pacific Grove,US,36.6177,-121.9166,62.08,86,100,11.01,overcast clouds
80,Kursk,RU,51.7303,36.1939,37.6,75,17,4.47,few clouds
81,Umm Lajj,SA,25.0213,37.2685,83.1,51,6,7.16,clear sky
82,Caravelas,BR,-17.7125,-39.2481,77.13,69,31,8.52,scattered clouds
83,Torbay,CA,47.6666,-52.7314,58.75,86,75,5.75,broken clouds
84,Klaksvik,FO,62.2266,-6.589,41.92,82,100,13.78,light rain
85,Saint-Pierre,RE,-21.3393,55.4781,72.57,68,20,4.61,few clouds
86,Port Hardy,CA,50.6996,-127.4199,50.18,100,100,2.3,fog
87,Gat,IL,31.61,34.7642,74.08,63,3,6.26,clear sky
88,Hithadhoo,MV,-0.6,73.0833,81.43,71,93,15.9,overcast clouds
89,Brigantine,US,39.4101,-74.3646,71.2,57,0,12.66,clear sky
90,Cedar City,US,37.6775,-113.0619,74.39,21,0,4.61,clear sky
91,Pisco,PE,-13.7,-76.2167,68.05,60,0,13.8,clear sky
92,Dikson,RU,73.5069,80.5464,32.18,70,99,13.73,overcast clouds
93,Pokhara,NP,28.2333,83.9833,63.93,61,46,4.7,scattered clouds
94,Saskylakh,RU,71.9167,114.0833,32.38,96,98,15.14,overcast clouds
95,Ayan,RU,56.45,138.1667,39.18,76,100,15.86,overcast clouds
96,Coari,BR,-4.085,-63.1414,85.15,67,96,3.04,light rain
97,Bilibino,RU,68.0546,166.4372,-8.73,100,100,1.59,overcast clouds
98,Kutum,SD,14.2,24.6667,78.48,23,14,10.71,few clouds
99,Sabha,LY,27.0377,14.4283,73.33,42,0,10.09,clear sky
100,Coihaique,CL,-45.5752,-72.0662,63.21,48,0,9.22,clear sky
101,Taoudenni,ML,22.6783,-3.9836,95.11,8,100,11.61,overcast clouds
102,Severnyy,RU,50.677,36.5532,37.44,75,25,4.47,scattered clouds
103,Ravar,IR,31.2656,56.8055,71.13,14,0,3.74,clear sky
104,Tshikapa,CD,-6.4167,20.8,69.53,95,100,4.65,light rain
105,Alofi,NU,-19.0595,-169.9187,80.49,83,40,6.91,scattered clouds
106,Smoky Lake,CA,54.1169,-112.4686,38.12,56,71,4.61,broken clouds
107,Tambun,ID,-6.2641,107.0712,79.48,81,100,2.82,overcast clouds
108,Gorontalo,ID,0.5412,123.0595,75.18,93,49,1.92,scattered clouds
109,Shellbrook,CA,53.2168,-106.4011,38.43,37,100,15.14,overcast clouds
110,Makakilo City,US,21.3469,-158.0858,81.61,64,0,10.36,clear sky
111,The Valley,AI,18.217,-63.0578,86.83,74,40,12.66,scattered clouds
112,Cidreira,BR,-30.1811,-50.2056,63.0,83,100,18.05,overcast clouds
113,Bethel,US,41.3712,-73.414,69.64,57,2,7.0,clear sky
114,Chuy,UY,-33.6971,-53.4616,59.95,70,100,13.42,overcast clouds
115,Fortuna,US,40.5982,-124.1573,55.74,49,8,6.33,clear sky
116,Tiangua,BR,-3.7322,-40.9917,86.63,27,72,3.69,broken clouds
117,Kimbe,PG,-5.5502,150.1429,77.23,88,100,2.53,overcast clouds
118,Bara,NG,10.3744,10.7288,78.55,51,83,2.64,broken clouds
119,Bathsheba,BB,13.2167,-59.5167,88.41,70,40,12.66,scattered clouds
120,Amapa,BR,1.0,-52.0,93.38,34,57,4.25,broken clouds
121,Vaini,TO,-21.2,-175.2,71.76,88,75,1.14,broken clouds
122,Ilulissat,GL,69.2167,-51.1,20.68,64,7,10.0,clear sky
123,Chokurdakh,RU,70.6333,147.9167,4.8,94,99,8.28,overcast clouds
124,Richards Bay,ZA,-28.783,32.0377,70.2,67,100,9.06,overcast clouds
125,Port Elizabeth,ZA,-33.918,25.5701,63.32,88,100,14.97,overcast clouds
126,Narsaq,GL,60.9167,-46.05,35.13,68,0,8.48,clear sky
127,Isangel,VU,-19.55,169.2667,66.31,72,10,6.91,clear sky
128,Kudahuvadhoo,MV,2.6708,72.8944,79.32,83,100,17.56,overcast clouds
129,Martapura,ID,-3.4167,114.85,75.29,100,20,1.14,mist
130,Batagay-Alyta,RU,67.8006,130.4114,16.86,87,100,3.8,overcast clouds
131,Rocha,UY,-34.4833,-54.3333,61.12,63,100,13.51,overcast clouds
132,Gotsu,JP,35.0,132.2167,62.04,84,0,4.34,clear sky
133,Avarua,CK,-21.2078,-159.775,78.85,69,20,17.27,few clouds
134,Najran,SA,17.4924,44.1277,72.25,21,33,2.89,scattered clouds
135,San Cristobal,VE,7.7669,-72.225,78.98,52,100,5.39,overcast clouds
136,Yellowknife,CA,62.456,-114.3525,28.92,54,40,6.91,scattered clouds
137,Tacoaleche,MX,22.8167,-102.4167,80.53,28,4,4.94,clear sky
138,Kot Khai,IN,31.1167,77.5333,52.88,79,0,2.68,clear sky
139,Chulym,RU,55.0997,80.9572,38.43,61,99,3.94,overcast clouds
140,Butaritari,KI,3.0707,172.7902,81.28,74,36,16.6,scattered clouds
141,Upernavik,GL,72.7868,-56.1549,23.59,63,100,6.08,overcast clouds
142,Komsomolskiy,UZ,40.4272,71.7189,56.12,54,0,6.91,clear sky
143,Cockburn Town,TC,21.4612,-71.1419,85.96,66,40,11.5,scattered clouds
144,Barrow,US,71.2906,-156.7887,16.65,93,56,10.18,broken clouds
145,Usinsk,RU,65.9939,57.5281,33.73,86,94,5.12,overcast clouds
146,Faya,SA,18.3851,42.4509,64.51,49,2,5.61,clear sky
147,Tual,ID,-5.6667,132.75,82.74,76,58,6.71,broken clouds
148,Bredasdorp,ZA,-34.5322,20.0403,59.68,90,100,17.9,light rain
149,Lebu,CL,-37.6167,-73.65,55.71,71,54,19.3,broken clouds
150,Salinopolis,BR,-0.6136,-47.3561,83.01,70,60,12.26,broken clouds
151,Victoria,HK,22.2855,114.1577,81.32,49,100,11.01,overcast clouds
152,Chicama,PE,-7.8447,-79.1469,63.14,58,42,10.89,scattered clouds
153,Laguna,US,38.421,-121.4238,82.02,58,0,3.44,clear sky
154,San Jose,US,37.3394,-121.895,73.53,61,40,8.05,scattered clouds
155,Saint-Francois,FR,46.4154,3.9054,60.24,88,0,2.3,clear sky
156,Te Anau,NZ,-45.4167,167.7167,49.84,91,93,2.24,overcast clouds
157,Buala,SB,-8.145,159.5921,80.42,73,99,4.34,overcast clouds
158,Cherskiy,RU,68.75,161.3,8.91,96,100,7.96,overcast clouds
159,Lodja,CD,-3.4833,23.4333,67.55,97,100,1.32,overcast clouds
160,Itacare,BR,-14.2775,-38.9967,76.66,74,13,6.6,few clouds
161,Akyab,MM,20.15,92.9,80.11,85,97,5.3,overcast clouds
162,Rio Gallegos,AR,-51.6226,-69.2181,62.65,14,0,11.5,clear sky
163,Dafeng,CN,23.4517,108.5881,67.55,35,60,5.37,broken clouds
164,Oranjestad,AW,12.524,-70.027,86.92,75,75,18.41,broken clouds
165,Nome,US,64.5011,-165.4064,30.16,51,100,11.14,overcast clouds
166,Chitral,PK,35.8462,71.7858,62.65,24,0,5.19,clear sky
167,Vila Velha,BR,-20.3297,-40.2925,78.75,76,40,11.5,scattered clouds
168,Rafaela,AR,-31.2503,-61.4867,64.0,52,100,7.0,overcast clouds
169,Mae Ramat,TH,16.984,98.5166,72.0,96,100,2.64,overcast clouds
170,Paamiut,GL,61.994,-49.6678,37.44,75,0,8.9,clear sky
171,Mahebourg,MU,-20.4081,57.7,70.09,78,20,6.91,few clouds
172,Baglung,NP,28.2719,83.5898,58.17,67,3,5.97,clear sky
173,Goderich,CA,43.7501,-81.7165,48.9,53,100,20.71,overcast clouds
174,Svetlogorsk,BY,52.6333,29.7333,43.32,74,8,9.69,clear sky
175,Archidona,ES,37.0965,-4.3887,66.92,43,0,1.3,clear sky
176,West Bay,KY,19.3667,-81.4167,87.87,77,40,11.5,scattered clouds
177,Tiksi,RU,71.6872,128.8694,21.36,83,99,22.03,overcast clouds
178,Puri,IN,19.8,85.85,77.52,82,10,4.7,clear sky
179,Urdoma,RU,61.7533,48.5442,39.81,97,100,3.51,overcast clouds
180,Ostrovnoy,RU,68.0531,39.5131,41.2,91,59,10.27,broken clouds
181,Kentau,KZ,43.5206,68.5094,58.23,35,83,4.0,broken clouds
182,Norman Wells,CA,65.282,-126.8329,15.84,92,75,9.22,mist
183,Golden,US,39.7555,-105.2211,64.49,41,57,8.01,broken clouds
184,Fort Nelson,CA,58.8053,-122.7002,36.99,60,100,4.61,light rain
185,Kahului,US,20.8947,-156.47,80.96,84,59,5.01,broken clouds
186,Binga,ZW,-17.6203,27.3414,77.65,31,74,1.32,broken clouds
187,Namibe,AO,-15.1961,12.1522,68.7,82,100,3.74,overcast clouds
188,Fuxin,CN,42.0156,121.6589,48.36,23,100,13.11,overcast clouds
189,Cabo San Lucas,MX,22.8909,-109.9124,89.62,62,4,13.96,clear sky
190,Avera,US,33.194,-82.5271,82.45,31,0,5.39,clear sky
191,Praia Da Vitoria,PT,38.7333,-27.0667,70.05,73,20,15.99,few clouds
192,Vizinga,RU,61.0749,50.1031,41.23,92,100,3.98,overcast clouds
193,Provideniya,RU,64.3833,-173.3,26.96,73,100,12.1,overcast clouds
194,Sembe,CG,1.6481,14.5806,67.12,99,100,3.85,light rain
195,Kaeo,NZ,-35.1,173.7833,56.32,95,4,5.44,clear sky
196,Hillsborough,US,37.5741,-122.3794,71.2,77,100,9.22,overcast clouds
197,Atasu,KZ,48.6814,71.6433,52.36,32,99,4.43,overcast clouds
198,Ilhabela,BR,-23.7781,-45.3581,73.31,82,95,7.31,overcast clouds
199,Dingle,PH,10.9995,122.6711,77.99,87,100,8.16,overcast clouds
200,Kuusamo,FI,65.9667,29.1833,46.44,93,100,10.36,overcast clouds
201,Guymon,US,36.6828,-101.4816,77.67,21,0,8.77,clear sky
202,Ati,TD,13.2154,18.3353,90.61,20,31,8.08,scattered clouds
203,Airai,TL,-8.9266,125.4092,60.96,75,30,2.53,scattered clouds
204,Kodiak,US,57.79,-152.4072,51.31,82,100,6.91,light rain
205,Halifax,CA,44.6453,-63.5724,63.68,93,100,18.41,overcast clouds
206,Sao Felix Do Xingu,BR,-6.6447,-51.995,75.49,90,93,2.42,light rain
207,Trelew,AR,-43.249,-65.3051,62.01,38,100,23.47,overcast clouds
208,Sovetskiy,RU,61.3614,63.5842,40.51,92,100,3.87,overcast clouds
209,Tak,TH,16.5833,98.8333,66.0,97,100,2.77,overcast clouds
210,Dharchula,IN,29.85,80.5333,59.2,57,0,6.17,clear sky
211,Nanortalik,GL,60.1432,-45.2371,37.99,70,0,2.08,clear sky
212,Plettenberg Bay,ZA,-34.0527,23.3716,60.87,86,99,11.01,overcast clouds
213,Saint-Louis,SN,16.3333,-15.0,92.84,29,34,3.6,scattered clouds
214,Union,US,40.6334,-74.2663,74.03,46,0,8.05,clear sky
215,Ambulu,ID,-8.345,113.6058,75.24,92,92,2.59,overcast clouds
216,Vagur,FO,61.4732,-6.8119,44.08,85,100,24.16,light rain
217,Honningsvag,NO,70.9821,25.9704,44.35,76,100,8.05,overcast clouds
218,Puerto Penasco,MX,31.3167,-113.5333,75.9,66,0,18.01,clear sky
219,Arroyo,ES,41.6096,-4.7969,69.15,52,0,5.75,clear sky
220,San Juan De Colon,VE,8.0313,-72.2605,80.19,78,100,2.75,overcast clouds
221,Andrelandia,BR,-21.7397,-44.3092,71.87,62,89,8.66,overcast clouds
222,Kortkeros,RU,61.8106,51.5806,42.8,92,100,3.85,overcast clouds
223,Santa Barbara,US,34.7333,-120.0343,64.24,76,100,5.75,overcast clouds
224,Bandarbeyla,SO,9.4942,50.8122,77.32,90,38,7.25,scattered clouds
225,Ribeira Grande,PT,38.5167,-28.7,68.4,68,40,10.36,scattered clouds
226,Yangshe,CN,31.8899,120.6052,59.0,95,0,1.99,clear sky
227,Marzuq,YE,14.4,46.4667,70.43,62,29,3.6,scattered clouds
228,Sisimiut,GL,66.9395,-53.6735,29.14,56,33,15.68,scattered clouds
229,Rajauri,IN,33.3833,74.3,63.54,53,0,5.3,clear sky
230,Kaitangata,NZ,-46.2817,169.8464,53.2,72,99,3.24,overcast clouds
231,Thompson,CA,55.7435,-97.8558,32.16,93,100,14.97,overcast clouds
232,Samarai,PG,-10.6167,150.6667,80.4,83,100,9.95,overcast clouds
233,San Patricio,US,28.017,-97.5169,94.53,46,6,14.54,clear sky
234,Taman,RU,45.2117,36.7161,58.12,59,36,24.02,scattered clouds
235,Broken Hill,AU,-31.95,141.4333,58.23,57,99,7.87,overcast clouds
236,Clyde River,CA,70.4692,-68.5914,32.23,93,100,35.68,overcast clouds
237,Qaqortoq,GL,60.7167,-46.0333,37.51,68,0,11.23,clear sky
238,Tabou,CI,4.423,-7.3528,76.98,84,99,6.6,overcast clouds
239,Miraflores,MX,19.2167,-98.8083,76.03,37,23,3.85,few clouds
240,Cape Town,ZA,-33.9258,18.4232,68.92,75,0,11.01,clear sky
241,Nouadhibou,MR,20.931,-17.0347,71.58,83,0,12.66,clear sky
242,La Ronge,CA,55.1001,-105.2842,37.65,44,75,14.97,broken clouds
243,Ponta Do Sol,PT,32.6667,-17.1,71.13,78,61,3.02,broken clouds
244,Honiara,SB,-9.4333,159.95,78.37,82,97,2.3,overcast clouds
245,Normandin,CA,48.8333,-72.5321,51.93,82,58,9.22,broken clouds
246,Tessalit,ML,20.1986,1.0114,85.64,11,0,10.04,clear sky
247,Meulaboh,ID,4.1363,96.1285,74.5,91,100,4.72,overcast clouds
248,Mackenzie,CA,55.2999,-123.1698,53.82,62,75,9.22,broken clouds
249,Naryan-Mar,RU,67.6713,53.087,41.02,97,100,7.02,overcast clouds
250,Asfi,MA,32.2994,-9.2372,74.17,63,100,8.55,overcast clouds
251,Chingirlau,KZ,51.095,54.0814,41.36,79,82,7.43,broken clouds
252,Arlit,NE,18.7369,7.3853,89.31,13,0,15.97,clear sky
253,Huarmey,PE,-10.0681,-78.1522,67.6,72,15,12.97,few clouds
254,Karratha,AU,-20.7377,116.8463,71.2,49,6,8.86,light rain
255,Vestmannaeyjar,IS,63.4427,-20.2734,42.64,69,100,29.06,overcast clouds
256,Scottsbluff,US,41.8666,-103.6672,61.79,48,100,11.99,overcast clouds
257,Cururupu,BR,-1.8283,-44.8683,83.55,63,94,6.02,overcast clouds
258,Anaconda,US,46.1285,-112.9423,56.23,42,6,3.38,clear sky
259,Georgetown,MY,5.4112,100.3354,78.24,95,40,5.75,scattered clouds
260,Lubango,AO,-14.9172,13.4925,60.64,81,100,3.85,light rain
261,Kushima,JP,31.4583,131.2333,68.83,88,9,6.06,clear sky
262,Staryy Oskol,RU,51.2967,37.8417,40.23,70,27,3.51,scattered clouds
